organism,taxid,family,suborder,project,assembly_name,status,goat_sequencing_status,accession,wgs_accession,assembly_span_mb,contig_n50,assembly_level,goat_assembly_id,record_type,in_tob_inventory
Halyzia sedecimguttata,347359,Coccinellidae,Polyphaga,DToL,icHalSede1.2 alternate haplotype,alternate_haplotype,published,GCA_937616445.2,CALLYI02,902.25,843446,Scaffold,GCA_937616445.2,assembly,yes
Harmonia axyridis,115357,Coccinellidae,Polyphaga,unknown,Haxy_hC_F2.3_v2,Scaffold,published,GCA_003402655.2,BHEG02,434.97,86455,Scaffold,GCA_003402655.2,assembly,yes
Harmonia axyridis,115357,Coccinellidae,Polyphaga,unknown,ASM980590v1,Scaffold,published,GCA_009805905.1,QCWK01,10.44,30732,Scaffold,GCA_009805905.1,assembly,yes
Harmonia axyridis,115357,Coccinellidae,Polyphaga,unknown,ZU_Haxy_2.0,Chromosome,published,GCA_011033045.2,WMPA02,415.31,889999,Chromosome,GCA_011033045.2,assembly,yes
Harmonia axyridis,115357,Coccinellidae,Polyphaga,DToL,icHarAxyr1.1 alternate haplotype,alternate_haplotype,published,GCA_914767675.1,CAJZBD01,407.54,8504002,Contig,GCA_914767675.1,assembly,yes
Harpalus rubripes,247297,Carabidae,Adephaga,DToL,icHarRubr1.1 alternate haplotype,alternate_haplotype,published,GCA_963083015.1,CAUJCH01,1154.55,592307,Scaffold,GCA_963083015.1,assembly,yes
Harpalus rufipes,247442,Carabidae,Adephaga,DToL,icHarRufp1.1 alternate haplotype,alternate_haplotype,published,GCA_951394325.1,CATOBN01,847.23,1600630,Scaffold,GCA_951394325.1,assembly,yes
Phaedon cochleariae,80249,Chrysomelidae,Polyphaga,unknown,PGI_PHAECO_v4,Chromosome,published,GCA_918026855.4,CAKJVG04,869.73,1950330,Chromosome,GCA_918026855.4,assembly,yes
Phaenonotum sp. SLE1380,3053245,Hydrophilidae,Polyphaga,unknown,ASM3355780v1,Contig,published,GCA_033557805.1,JAUIMX01,28.7,10128,Contig,GCA_033557805.1,assembly,yes
Phaleria cadaverina,1470699,Tenebrionidae,Polyphaga,DToL,icPhaCada2.1 alternate haplotype,alternate_haplotype,published,GCA_977013325.1,CDRNHP01,392.5,375384,Scaffold,GCA_977013325.1,assembly,yes
Phanaeus vindex,506474,Scarabaeidae,Polyphaga,unknown,ASM5483236v1,Scaffold,published,GCA_054832365.1,JBQRUQ01,409.25,21796443,Scaffold,GCA_054832365.1,assembly,yes
Philonthus cognatus,346820,Staphylinidae,Polyphaga,DToL,icPhiCogn1.1 alternate haplotype,alternate_haplotype,published,GCA_932526485.1,CAKOBG01,909.49,2006501,Scaffold,GCA_932526485.1,assembly,yes
Philonthus spinipes,878362,Staphylinidae,Polyphaga,DToL,icPhiSpin1.1 alternate haplotype,alternate_haplotype,published,GCA_963082675.1,CAUJBU01,621.35,2385291,Contig,GCA_963082675.1,assembly,yes
Philopedon plagiatum,202117,Curculionidae,Polyphaga,DToL,icPhiPlag1.1 alternate haplotype,alternate_haplotype,published,GCA_963971095.1,CAXARD01,930.09,154689,Scaffold,GCA_963971095.1,assembly,yes
Phosphuga atrata,414934,Silphidae,Polyphaga,DToL,icSilAtra2.1 alternate haplotype,alternate_haplotype,published,GCA_944567605.1,CALYMX01,1139.23,402671,Scaffold,GCA_944567605.1,assembly,yes
Phratora vitellinae,153785,Chrysomelidae,Polyphaga,DToL,icPhrVite1.1 alternate haplotype,alternate_haplotype,published,GCA_977071055.1,CDRVHU01,593.36,903000,Scaffold,GCA_977071055.1,assembly,yes
Phrixothrix hirtus,94779,Phengodidae,Polyphaga,unknown,ASM2458641v1,Contig,published,GCA_024586415.1,JAHWXV01,2897.72,2761,Contig,GCA_024586415.1,assembly,yes
Phyllobius pyri,202125,Curculionidae,Polyphaga,DToL,icPhyPyri4.hap1.1,Chromosome,published,GCA_980746795.1,CEMPOJ01,748.11,31606165,Chromosome,GCA_980746795.1,assembly,yes
Phyllotreta cruciferae,224133,Chrysomelidae,Polyphaga,unknown,PGI_PHYECR_V1,Chromosome,published,GCA_917563865.1,,135.12,7248987,Chromosome,GCA_917563865.1,assembly,yes
Phyllotreta striolata,444603,Chrysomelidae,Polyphaga,unknown,PGI_PHYEVI_v3,Chromosome,published,GCA_918026865.1,CAKJVH03,132.26,2676005,Chromosome,GCA_918026865.1,assembly,yes
Phytoecia cylindrica,1588379,Cerambycidae,Polyphaga,DToL,icPhyCyli3.1,Chromosome,published,GCA_982374485.1,CEVVFO01,831.47,16066490,Chromosome,GCA_982374485.1,assembly,yes
Phytoecia cylindrica,1588379,Cerambycidae,Polyphaga,DToL,icPhyCyli3.1 alternate haplotype,alternate_haplotype,published,GCA_982374675.1,CEVVGG01,703.74,658190,Scaffold,GCA_982374675.1,assembly,yes
Lagria hirta,296003,Tenebrionidae,Polyphaga,DToL,icLagHirt1.1 alternate haplotype,alternate_haplotype,published,GCA_947359435.1,CANAHV01,304.31,2923370,Contig,GCA_947359435.1,assembly,yes
Lampyris noctiluca,41311,Lampyridae,Polyphaga,unknown,LaNoc_SwiLau_1.0,Scaffold,published,GCA_050947525.1,JBNDYH01,652.5,620402,Scaffold,GCA_050947525.1,assembly,yes
Laparocerus anagae,1963931,Curculionidae,Polyphaga,DToL,icLapAnag1-haploid.1,Chromosome,published,GCA_976997085.1,CDRLMS01,481.68,25935046,Chromosome,GCA_976997085.1,assembly,yes
Laparocerus anagae,1963931,Curculionidae,Polyphaga,DToL,icLapAnag1.1,Chromosome,published,GCA_976997095.1,CDRLMT01,513.84,25606415,Chromosome,GCA_976997095.1,assembly,yes
Larinus minutus,1342029,Curculionidae,Polyphaga,DToL,icLarMinu1_p1.2,Scaffold,published,GCA_041228525.2,JBGEDK02,1419.17,2091210,Scaffold,GCA_041228525.2,assembly,yes
Larinus minutus,1342029,Curculionidae,Polyphaga,DToL,icLarMinu1_a1.2,Scaffold,published,GCA_041228435.2,JBGEDJ02,1320.16,2177891,Scaffold,GCA_041228435.2,assembly,yes
Larinus ursus,1342031,Curculionidae,Polyphaga,DToL,icLarUrsu1.3,Chromosome,published,GCA_979861375.2,CEHOVP02,1742.28,45364611,Chromosome,GCA_979861375.2,assembly,yes
Latheticus oryzae,466960,Tenebrionidae,Polyphaga,DToL,icLatOryz1.1,Chromosome,published,GCA_030157265.1,JAMXKR01,170.05,16486265,Chromosome,GCA_030157265.1,assembly,yes
Latheticus oryzae,466960,Tenebrionidae,Polyphaga,DToL,icLatOryz1.1 alternate haplotype,alternate_haplotype,published,GCA_030157245.1,JAMXKS01,71.16,109128,Contig,GCA_030157245.1,assembly,yes
Lathrobium fulvipenne,878051,Staphylinidae,Polyphaga,DToL,icLatFulv2.1,Chromosome,published,GCA_982375295.1,CEVVIN01,575.82,9753159,Chromosome,GCA_982375295.1,assembly,yes
Lathrobium fulvipenne,878051,Staphylinidae,Polyphaga,DToL,icLatFulv2.1 alternate haplotype,alternate_haplotype,published,GCA_982375225.1,CEVVIJ01,422.79,1117673,Scaffold,GCA_982375225.1,assembly,yes
Leistus spinibarbis,878056,Carabidae,Adephaga,DToL,icLeiSpin1.1 alternate haplotype,alternate_haplotype,published,GCA_933228875.1,CAKOGB01,203.76,321871,Contig,GCA_933228875.1,assembly,yes
Leonhardella angulicollis,3073151,Leiodidae,Polyphaga,DToL,icLeoAngu1.1,Chromosome,published,GCA_978019415.1,CDXDIX01,493.27,3458477,Chromosome,GCA_978019415.1,assembly,yes
Leptinotarsa decemlineata,7539,Chrysomelidae,Polyphaga,unknown,Ldec_3_MD,Scaffold,published,GCA_025532065.1,JAIRDN01,810.46,8926322,Scaffold,GCA_025532065.1,assembly,yes
Leptinotarsa decemlineata,7539,Chrysomelidae,Polyphaga,unknown,ASM2471293v1,Chromosome,published,GCA_024712935.1,JANJPO01,1008.32,7451212,Chromosome,GCA_024712935.1,assembly,yes
Leptinotarsa decemlineata,7539,Chrysomelidae,Polyphaga,unknown,Ldec_3_OR,Scaffold,published,GCA_025532075.1,JAIRDO01,795.61,4176,Scaffold,GCA_025532075.1,assembly,yes
Leptinotarsa decemlineata,7539,Chrysomelidae,Polyphaga,unknown,Ldec_3_CO,Scaffold,published,GCA_025532095.1,JAIRDP01,874.27,4172,Scaffold,GCA_025532095.1,assembly,yes
Leptinotarsa juncta,216192,Chrysomelidae,Polyphaga,unknown,ASM1534216v1,Scaffold,published,GCA_015342165.1,WOGK01,523.98,2839,Scaffold,GCA_015342165.1,assembly,yes
Leptinotarsa undecemlineata,2663497,Chrysomelidae,Polyphaga,unknown,ASM1534206v1,Scaffold,published,GCA_015342065.1,WOGP01,639.11,5685,Scaffold,GCA_015342065.1,assembly,yes
Leptodirus hochenwartii,2996356,Leiodidae,Polyphaga,DToL,icLepHoch12.1 alternate haplotype,alternate_haplotype,published,GCA_947310685.1,CAMZJM01,434.1,1232347,Contig,GCA_947310685.1,assembly,yes
Leptura quadrifasciata,1143061,Cerambycidae,Polyphaga,DToL,icLepQuad1.1 alternate haplotype,alternate_haplotype,published,GCA_963675865.1,CAVMBI01,1403.37,6481551,Contig,GCA_963675865.1,assembly,yes
Leptusa sp. GC000079,3032615,Staphylinidae,Polyphaga,unknown,Caltech_Lep_1.0,alternate_haplotype,published,GCA_030264655.1,JARJDT01,170.31,6169,Scaffold,GCA_030264655.1,assembly,yes
Lethrus apterus,1612427,Geotrupidae,Polyphaga,unknown,ASM5198932v1,Scaffold,published,GCA_051989325.1,JBPULK01,293.02,1250744,Scaffold,GCA_051989325.1,assembly,yes
Lethrus scoparius,2609328,Geotrupidae,Polyphaga,unknown,ASM5269634v1,Scaffold,published,GCA_052696345.1,JBQXYL01,266.04,301243,Scaffold,GCA_052696345.1,assembly,yes
Oryctes borbonicus,1629725,Scarabaeidae,Polyphaga,unknown,Oryctes_borbonicus_mpgtue_10X,Scaffold,published,GCA_902654985.2,CACRWG01,428.25,150028,Scaffold,GCA_902654985.2,assembly,yes
Oryctes rhinoceros,72550,Scarabaeidae,Polyphaga,unknown,S4-7k-2v3,Scaffold,published,GCA_020654165.1,JAIOKQ01,377.36,10534518,Scaffold,GCA_020654165.1,assembly,yes
Oryctes rhinoceros,72550,Scarabaeidae,Polyphaga,unknown,ASM2677013v1,Scaffold,published,GCA_026770135.1,JAMYEU01,374.84,5754,Scaffold,GCA_026770135.1,assembly,yes
Oryctes rhinoceros,72550,Scarabaeidae,Polyphaga,unknown,ASM2677015v1,Scaffold,published,GCA_026770155.1,JAMYES01,367.07,5293,Scaffold,GCA_026770155.1,assembly,yes
Oryctes rhinoceros,72550,Scarabaeidae,Polyphaga,unknown,ASM2677017v1,Scaffold,published,GCA_026770175.1,JAMYET01,335.25,5296,Scaffold,GCA_026770175.1,assembly,yes
Oryzaephilus surinamensis,41112,Silvanidae,Polyphaga,unknown,ASM5205891v1,Contig,published,GCA_052058915.1,JBPJSM01,91.4,37040,Contig,GCA_052058915.1,assembly,yes
Osmoderma eremita,314302,Scarabaeidae,Polyphaga,unknown,ASM3176348v1,Scaffold,published,GCA_031763485.1,JARFOC01,494.66,10029,Scaffold,GCA_031763485.1,assembly,yes
Othius punctulatus,347424,Staphylinidae,Polyphaga,DToL,icOthPunc1.1 alternate haplotype,alternate_haplotype,published,GCA_951805015.1,CATORI01,867.54,697565,Scaffold,GCA_951805015.1,assembly,yes
Oxypoda opaca,878185,Staphylinidae,Polyphaga,unknown,Caltech_Oxy_1.0,alternate_haplotype,published,GCA_030264175.1,JARJDP01,183.12,6155,Scaffold,GCA_030264175.1,assembly,yes
Oxypoda opaca,878185,Staphylinidae,Polyphaga,unknown,ASM2757677v1,Scaffold,published,GCA_027576775.1,JAODHW01,171.54,3067,Scaffold,GCA_027576775.1,assembly,yes
Oxypselaphus obscurus,877726,Carabidae,Adephaga,DToL,icOxyObsc1.hap2.1,Scaffold,published,GCA_982345255.1,CEVQZM01,614.65,1333625,Scaffold,GCA_982345255.1,assembly,yes
Oxystoma pomonae,1588336,Apionidae,Polyphaga,DToL,icOxyPomo2.1 alternate haplotype,alternate_haplotype,published,GCA_963921945.1,CAWUHN01,1132.23,1263678,Contig,GCA_963921945.1,assembly,yes
Pediacus dermestoides,878348,Cucujidae,Polyphaga,DToL,icPedDerm1.1 alternate haplotype,alternate_haplotype,published,GCA_963942455.1,CAWWDQ01,212.65,146810,Contig,GCA_963942455.1,assembly,yes
Colydium elongatum,295817,Zopheridae,Polyphaga,DToL,icColElon2.1 alternate haplotype,alternate_haplotype,published,GCA_964656365.1,CAZZRM01,382.01,76624,Scaffold,GCA_964656365.1,assembly,yes
Rhynchophorus ferrugineus,354439,Curculionidae,Polyphaga,unknown,ASM1446268v1,Scaffold,published,GCA_014462685.1,JAACXV01,589.39,37927,Scaffold,GCA_014462685.1,assembly,yes
Diorhabda elongata,217247,Chrysomelidae,Polyphaga,DToL,icDioElon1.1,Chromosome,published,GCA_026230145.1,JAOVVJ01,485.34,11993826,Chromosome,GCA_026230145.1,assembly,yes
Epilissus splendidus,3050893,Scarabaeidae,Polyphaga,unknown,ASM3355728v1,Contig,published,GCA_033557285.1,JAWQRH01,6.15,338,Contig,GCA_033557285.1,assembly,yes
Eucryptorrhynchus brandti,436910,Curculionidae,Polyphaga,unknown,TRW_Ebra_1.0,Chromosome,published,GCA_040894065.1,JAEHOA01,401.81,4009376,Chromosome,GCA_040894065.1,assembly,yes
Eucryptorrhynchus scrobiculatus,1552824,Curculionidae,Polyphaga,unknown,TTW_Escr_1.0,Chromosome,published,GCA_046736385.1,,318.25,4215381,Chromosome,GCA_046736385.1,assembly,yes
Eulagius filicornis,1586587,Mycetophagidae,Polyphaga,DToL,icEulFili2.1 alternate haplotype,alternate_haplotype,published,GCA_965643575.1,CBFFPH01,129.04,90002,Scaffold,GCA_965643575.1,assembly,yes
Euoniticellus fulvus,166328,Scarabaeidae,Polyphaga,unknown,ASM3219165v1,Contig,published,GCA_032191655.1,JAUIMT01,172.79,491,Contig,GCA_032191655.1,assembly,yes
Euwallacea fornicatus,995702,Curculionidae,Polyphaga,unknown,ASM4011564v1,Chromosome,published,GCA_040115645.1,JBBMRQ01,219.83,3683252,Chromosome,GCA_040115645.1,assembly,yes
Euwallacea fornicatus,995702,Curculionidae,Polyphaga,unknown,PSHBf,Contig,published,GCA_040114445.1,JBDLLJ01,227.54,1845244,Contig,GCA_040114445.1,assembly,yes
Euwallacea fornicatus,995702,Curculionidae,Polyphaga,unknown,PSHBm,Contig,published,GCA_040114495.1,JBDLLI01,217.64,1252622,Contig,GCA_040114495.1,assembly,yes
Euwallacea fornicatus,995702,Curculionidae,Polyphaga,unknown,ASM4011565v1,Chromosome,published,GCA_040115655.1,JBBMRP01,239.61,3582182,Chromosome,GCA_040115655.1,assembly,yes
Euwallacea fornicatus,995702,Curculionidae,Polyphaga,unknown,inEuwForn1.0.a,Scaffold,published,GCA_042767365.1,JBFCZS01,198.52,1325806,Scaffold,GCA_042767365.1,assembly,yes
Euwallacea fornicatus,995702,Curculionidae,Polyphaga,unknown,inEuwForn1.0.p,Scaffold,published,GCA_042767475.1,JBFCZR01,253.42,4315094,Scaffold,GCA_042767475.1,assembly,yes
Euwallacea similis,1736056,Curculionidae,Polyphaga,unknown,ESF131.1,Chromosome,published,GCA_039881205.1,JBBMRO01,177.6,3987509,Chromosome,GCA_039881205.1,assembly,yes
Euwallacea similis,1736056,Curculionidae,Polyphaga,unknown,ESF151.1,Chromosome,published,GCA_039881215.1,JBCLVM01,179.14,3719186,Chromosome,GCA_039881215.1,assembly,yes
Exocentrus adspersus,1586481,Cerambycidae,Polyphaga,unknown,MPICE_EAD1,Contig,published,GCA_029955175.1,JANEYG01,257.54,1296204,Contig,GCA_029955175.1,assembly,yes
Falagria sp. GC000072,3034850,Staphylinidae,Polyphaga,unknown,Caltech_Fal_1.0,alternate_haplotype,published,GCA_030556245.1,JASKGN01,202.36,4617,Scaffold,GCA_030556245.1,assembly,yes
Salpingus planirostris,577144,Salpingidae,Polyphaga,DToL,icSalPlan1.1 alternate haplotype,alternate_haplotype,published,GCA_949789865.1,CATKUU01,126.14,485600,Contig,GCA_949789865.1,assembly,yes
Sambus kanssuensis,3045898,Buprestidae,Polyphaga,unknown,ASM4765183v1,Chromosome,published,GCA_047651835.1,JBLACM01,312.03,3192945,Chromosome,GCA_047651835.1,assembly,yes
Sarophorus costatus,206924,Scarabaeidae,Polyphaga,unknown,ASM3219163v1,Contig,published,GCA_032191635.1,JAUIMR01,197.14,926,Contig,GCA_032191635.1,assembly,yes
Sarophorus costatus,206924,Scarabaeidae,Polyphaga,unknown,ASM3219161v1,Contig,published,GCA_032191615.1,JAUIMQ01,198.07,896,Contig,GCA_032191615.1,assembly,yes
Scaphidium quadrimaculatum,295644,Staphylinidae,Polyphaga,DToL,icScaQuad2.1 alternate haplotype,alternate_haplotype,published,GCA_965283225.1,CBDINI01,1254.35,519534,Scaffold,GCA_965283225.1,assembly,yes
Scarites abbreviatus,3349997,Carabidae,Adephaga,DToL,icScaAbbr5-hap2.1,Chromosome,published,GCA_982297035.1,CEVJTH01,888.53,12803616,Chromosome,GCA_982297035.1,assembly,yes
Scarites abbreviatus,3349997,Carabidae,Adephaga,DToL,icScaAbbr5-hap1.1,Chromosome,published,GCA_982297005.1,CEVJTF01,749.67,17448818,Chromosome,GCA_982297005.1,assembly,yes
Sceptobius lativentris,2015916,Staphylinidae,Polyphaga,unknown,ASM2539999v1,Scaffold,published,GCA_025399995.1,JAODVJ01,318.49,6386,Scaffold,GCA_025399995.1,assembly,yes
Schizotus pectinicornis,351686,Pyrochroidae,Polyphaga,DToL,icSchPect1.1 alternate haplotype,alternate_haplotype,published,GCA_951805255.1,CATORN01,173.28,563495,Contig,GCA_951805255.1,assembly,yes
Sepedophilus sp. GC000190,3032620,Staphylinidae,Polyphaga,unknown,Caltech_Sep_1.0,alternate_haplotype,published,GCA_030264515.1,JARJED01,757.29,2480,Scaffold,GCA_030264515.1,assembly,yes
Serangium japonicum,544596,Coccinellidae,Polyphaga,unknown,ASM4054352v2,Chromosome,published,GCA_040543525.2,JARXHU02,433.73,11444110,Chromosome,GCA_040543525.2,assembly,yes
Serrognathus titanus,618631,Lucanidae,Polyphaga,unknown,ASM3976657v1,Chromosome,published,GCA_039766575.1,JBCDWJ01,384.09,37829574,Chromosome,GCA_039766575.1,assembly,yes
Silvanus unidentatus,295940,Silvanidae,Polyphaga,DToL,icSilUnid1.1 alternate haplotype,alternate_haplotype,published,GCA_963930795.1,CAWVOE01,192.61,729864,Scaffold,GCA_963930795.1,assembly,yes
Sinelater perroti,1028068,Elateridae,Polyphaga,unknown,kiz_Spe_v1,Contig,published,GCA_036346155.1,JARFIY01,1242.19,16744002,Contig,GCA_036346155.1,assembly,yes
Sinopyrophorus schimmeli,2488820,Elateridae,Polyphaga,unknown,kiz_Ess_v1,Contig,published,GCA_036325965.1,JARFIZ01,289.31,2735891,Contig,GCA_036325965.1,assembly,yes
Sisyphus schaefferi,166372,Scarabaeidae,Polyphaga,DToL,icSisScha5.1,Chromosome,published,GCA_977862225.1,CDWHUU01,398.36,19673571,Chromosome,GCA_977862225.1,assembly,yes
Sitona lineatus,202195,Curculionidae,Polyphaga,DToL,icSitLine7.1 alternate haplotype,alternate_haplotype,published,GCA_964263185.1,CAXVUN01,1207.71,400587,Scaffold,GCA_964263185.1,assembly,yes
Sitophilus zeamais,7047,Curculionidae,Polyphaga,unknown,ASM4793675v1,Chromosome,published,GCA_047936755.1,JBLKPX01,693.21,1251010,Chromosome,GCA_047936755.1,assembly,yes
Spelaeobates novaki,3086108,Leiodidae,Polyphaga,DToL,icSpeNova8.1,Chromosome,published,GCA_982345495.1,CEVQZV01,247.7,5965395,Chromosome,GCA_982345495.1,assembly,yes
Sperchopsis tessellata,1397758,Hydrophilidae,Polyphaga,unknown,ASM3355768v1,Contig,published,GCA_033557685.1,JAWQRN01,22.62,32069,Contig,GCA_033557685.1,assembly,yes
Sphaeridium bipustulatum,290649,Hydrophilidae,Polyphaga,DToL,icSphBipu4.1 alternate haplotype,alternate_haplotype,published,GCA_977013195.1,CDRNHG01,280.56,127221,Scaffold,GCA_977013195.1,assembly,yes
Stenodera caucasica,443667,Meloidae,Polyphaga,unknown,ASM3741479v1,Scaffold,published,GCA_037414795.1,JAZBGZ01,92.69,9204,Scaffold,GCA_037414795.1,assembly,yes
Stenolophus ochropezus,536894,Carabidae,Adephaga,unknown,UIUC_Steoc_1.0,Scaffold,published,GCA_035578165.1,JAQOWZ01,826.48,16540314,Scaffold,GCA_035578165.1,assembly,yes
Stenosis austini,3229215,Tenebrionidae,Polyphaga,DToL,icSteAust9.1,Chromosome,published,GCA_976980505.1,CDRJWI01,238.61,16021784,Chromosome,GCA_976980505.1,assembly,yes
Stenurella melanura,877990,Cerambycidae,Polyphaga,DToL,icSteMela1.1 alternate haplotype,alternate_haplotype,published,GCA_963584005.1,CAUZXM01,1531.13,686301,Scaffold,GCA_963584005.1,assembly,yes
Stenus bimaculatus,1202164,Staphylinidae,Polyphaga,DToL,icSteBima1.1 alternate haplotype,alternate_haplotype,published,GCA_963971105.1,CAXARC01,412.7,403735,Contig,GCA_963971105.1,assembly,yes
Sternochetus mangiferae,925794,Curculionidae,Polyphaga,unknown,ASM5129447v1,Contig,published,GCA_051294475.1,JBLDTD01,701.87,3574366,Contig,GCA_051294475.1,assembly,yes
Subcoccinella vigintiquattuorpunctata,295815,Coccinellidae,Polyphaga,DToL,icSubVigi2.1 alternate haplotype,alternate_haplotype,published,GCA_965789425.1,CBGBER01,589.79,433538,Scaffold,GCA_965789425.1,assembly,yes
Tachinus rufipes,1588496,Staphylinidae,Polyphaga,DToL,icTacRufp1.1 alternate haplotype,alternate_haplotype,published,GCA_963932205.1,CAWVQV01,1030.06,1007446,Scaffold,GCA_963932205.1,assembly,yes
Tachinus sp. AB-2021,2877718,Staphylinidae,Polyphaga,unknown,Caltech_Tac_1.0,alternate_haplotype,published,GCA_030264575.1,JARJEC01,580.27,4129,Scaffold,GCA_030264575.1,assembly,yes
Tachyporus hypnorum,346861,Staphylinidae,Polyphaga,DToL,icTacHypn4.1 alternate haplotype,alternate_haplotype,published,GCA_965783505.1,CBGAIC01,618.71,251000,Scaffold,GCA_965783505.1,assembly,yes
Taeniapion urticarium,202217,Apionidae,Polyphaga,DToL,icTaeUrti2.1 alternate haplotype,alternate_haplotype,published,GCA_978019945.1,CDXDKB01,759.63,94404,Scaffold,GCA_978019945.1,assembly,yes
Taphrorychus bicolor,105251,Curculionidae,Polyphaga,DToL,icTapBico1.1 alternate haplotype,alternate_haplotype,published,GCA_951812425.1,CATOSG01,454.27,122186,Contig,GCA_951812425.1,assembly,yes
Tarphius canariensis,124803,Zopheridae,Polyphaga,DToL,icTarCana1.1 alternate haplotype,alternate_haplotype,published,GCA_964277185.1,CAXYIE01,318.28,3748692,Scaffold,GCA_964277185.1,assembly,yes
Temnoplectron lewisense,211780,Scarabaeidae,Polyphaga,unknown,ASM3355738v1,Contig,published,GCA_033557385.1,JAWQRI01,25.89,1369,Contig,GCA_033557385.1,assembly,yes
Tenebrio molitor,7067,Tenebrionidae,Polyphaga,unknown,Tmol_A_ngnome66x_run1.1_130x_genome_v2,Scaffold,published,GCA_014282415.3,JABDTM02,294.39,23310,Scaffold,GCA_014282415.3,assembly,yes
Tenebrio molitor,7067,Tenebrionidae,Polyphaga,unknown,ASM2772521v1,Scaffold,published,GCA_027725215.1,JALNUA01,258.27,204901,Scaffold,GCA_027725215.1,assembly,yes
Tenebrio molitor,7067,Tenebrionidae,Polyphaga,unknown,Tmo_Genome,Chromosome,published,GCA_037075425.1,JAWJDX01,400.5,102413,Chromosome,GCA_037075425.1,assembly,yes
Tenebrio molitor,7067,Tenebrionidae,Polyphaga,unknown,Tenebrio_molitor_v3,Scaffold,published,GCA_907166875.3,CAJRHG03,287.84,6326592,Scaffold,GCA_907166875.3,assembly,yes
Tenebrio molitor,7067,Tenebrionidae,Polyphaga,DToL,icTenMoli1.1 alternate haplotype,alternate_haplotype,published,GCA_963966125.1,CAWYQF01,220.33,188840,Scaffold,GCA_963966125.1,assembly,yes
